1	203290000	203290200	ctcf_4681	1000	.	203290000	203290200	10,190,254	5.030000
1	174998600	174999400	ctcf_4196	1000	.	174998600	174999400	10,190,254	4.387500
1	207823268	207823836	tfbs_5776	1000	.	207823268	207823836	209,157,0	4.010563
10	75401000	75401600	proximal_7609	1000	.	75401000	75401600	255,105,105	3.735000
1	174998400	174999400	distal_4164	1000	.	174998400	174999400	250,202,0	3.527000
10	3784000	3784600	distal_6005	1000	.	3784000	3784600	250,202,0	3.526667
1	16154800	16155000	proximal_585	1000	.	16154800	16155000	255,105,105	3.270000
1	10737618	10738000	distal_353	1000	.	10737799	10738000	250,202,0	3.143979
1	26530400	26530800	ctcf_1367	1000	.	26530400	26530800	10,190,254	3.035000
1	32759600	32759800	proximal_1318	1000	.	32759600	32759800	255,105,105	2.980000
