5	9887	13481	distal_42353	1000	.	9999	11801	250,202,0	11.914036
20	50415200	50415600	proximal_36048	1000	.	50415200	50415600	255,105,105	11.004846
15	59689000	59689200	ctcf_18027	1000	.	59689000	59689200	10,190,254	10.704930
X	41334256	41334934	tfbs_64094	1000	.	41334256	41334934	209,157,0	10.577213
15	72475000	72475200	ctcf_18445	1000	.	72475000	72475200	10,190,254	10.305591
3	130893567	130893956	dnase_140871	1000	.	130893567	130893956	255,252,4	10.237072
10	110918755	110918915	dnase_29563	1000	.	110918755	110918915	255,252,4	10.227941
1	143219881	143220259	dnase_11248	1000	.	143219881	143220259	255,252,4	9.731208
15	84748000	84748200	ctcf_18901	1000	.	84748000	84748200	10,190,254	9.720550
X	41334400	41335000	ctcf_56059	1000	.	41334400	41335000	10,190,254	9.706308
