20	50415200	50415600	proximal_36048	1000	.	50415200	50415600	255,105,105	7.260000
12	52147708	52148619	dnase_46216	1000	.	52147708	52148619	255,252,4	5.663008
2	217929200	217929400	ctcf_31613	1000	.	217929200	217929400	10,190,254	5.390000
GL000225.1	120600	120800	ctcf_55476	1000	.	120600	120800	10,190,254	5.310000
1	203290000	203290200	ctcf_4681	1000	.	203290000	203290200	10,190,254	5.030000
17	7014000	7014200	proximal_23240	1000	.	7014000	7014200	255,105,105	4.600000
5	1539800	1540000	distal_42383	1000	.	1539800	1540000	250,202,0	4.565000
17	75645800	75646000	ctcf_24085	1000	.	75645800	75646000	10,190,254	4.535000
6	73521738	73522153	dnase_175504	1000	.	73521738	73522153	255,252,4	4.426506
11	64240256	64240821	dnase_36321	1000	.	64240256	64240821	255,252,4	4.419469
